timestamp,server_id,firewall_id,user,action_type,policy_name,policy_rule,status,ml_risk_score,log_source,blockchain_tx,notes
2025-06-03T02:23:30.449589,srv-054,fw-033,operator1,DELETE_POLICY,Allow DNS,allow udp 53,FAILED,0.5475,blockchain,0x8f6ba20e95ffb1a5681fdac2794f1c9dbc1a1e99,Test note
2025-05-01T05:31:06.449589,srv-049,fw-035,guest,ADD_POLICY,Allow SSH,allow udp 53,FAILED,0.9629,blockchain,0x07b84a5dda9130646c4155aaffbb7487c18c9c4c,
2025-04-11T23:52:25.449589,srv-005,fw-042,admin,DELETE_POLICY,Allow DNS,deny tcp 22,FAILED,0.7505,backend,,Test note
2025-04-04T18:27:04.449589,srv-077,fw-042,admin,ADD_POLICY,Allow HTTP,allow tcp 22,FAILED,0.9004,blockchain,0xa8729473c858f8ca08ca66e104f47011e9ab3056,Test note
2025-05-25T21:09:44.449589,srv-043,fw-040,admin,LOGIN,,,SUCCESS,0.6318,blockchain,0x81ee4aaf194f411d921740f59604c2780f3f0799,Test note
2025-08-12T21:07:49.449589,srv-064,fw-030,admin,LOGIN,,,FAILED,0.7876,backend,,Test note
2025-08-04T19:03:27.449589,srv-034,fw-011,operator2,DELETE_POLICY,Allow SSH,deny icmp,FAILED,0.254,backend,,Test note
2025-05-30T01:41:23.449589,srv-056,fw-032,guest,CONFIG_UPDATE,,,FAILED,0.6843,backend,,Test note
2025-07-14T08:23:00.449589,srv-054,fw-029,operator2,ADD_POLICY,Allow DNS,allow tcp 22,SUCCESS,0.9266,backend,,Test note
2025-05-24T13:53:46.449589,srv-040,fw-021,admin,CONFIG_UPDATE,,,FAILED,0.463,backend,,Test note
2025-08-29T18:36:10.449589,srv-001,fw-002,operator1,ADD_POLICY,Block Port 22,allow udp 53,SUCCESS,0.9148,backend,,Test note
2025-08-02T21:02:38.449589,srv-068,fw-023,guest,DELETE_POLICY,Deny ICMP,allow tcp 22,SUCCESS,0.3525,blockchain,0x2580e17eb00c7b7e9116b1733f7ea7a1d6a58b53,
2025-09-14T16:19:33.449589,srv-085,fw-009,guest,DELETE_POLICY,Allow DNS,allow udp 53,FAILED,0.5284,blockchain,0x6de751569801611e921fa2a583759b63451284ed,Test note
2025-08-23T21:24:36.449589,srv-044,fw-026,admin,LOGIN,,,FAILED,0.2784,backend,,Test note
2025-05-01T22:12:14.449589,srv-043,fw-029,operator1,CONFIG_UPDATE,,,FAILED,0.064,backend,,Test note
2025-07-25T06:31:02.449589,srv-029,fw-029,guest,LOGIN,,,FAILED,0.8134,blockchain,0x54fe75b7dd54c768a40a7354c9e9830ca552dafe,
2025-09-25T11:08:50.449589,srv-028,fw-031,operator2,ADD_POLICY,Allow DNS,allow udp 53,FAILED,0.3656,blockchain,0x1f9f071a647bbc1a5e0065d43a0df29449157fd0,
2025-05-23T18:29:48.449589,srv-053,fw-046,admin,ADD_POLICY,Allow DNS,allow udp 53,SUCCESS,0.4321,blockchain,0xd8b1c38ed7b7e5750513b96e3d026b548ea861bb,
2025-06-30T19:39:11.449589,srv-023,fw-044,operator2,LOGIN,,,FAILED,0.7262,blockchain,0x67dcd1c791e166ea586d0271e95e3045fa156412,Test note
2025-06-14T10:32:41.449589,srv-049,fw-018,operator1,LOGIN,,,FAILED,0.1767,backend,,Test note
2025-04-30T20:14:03.449589,srv-022,fw-040,operator1,CONFIG_UPDATE,,,FAILED,0.193,blockchain,0x62a035882bec42ebcda62c13e7c8230a5b6e75a5,Test note
2025-06-22T10:31:37.449589,srv-048,fw-003,operator1,CONFIG_UPDATE,,,FAILED,0.2936,backend,,Test note
2025-04-03T00:17:07.449589,srv-066,fw-033,operator1,CONFIG_UPDATE,,,SUCCESS,0.9281,backend,,
2025-08-12T02:45:19.449589,srv-082,fw-029,admin,CONFIG_UPDATE,,,FAILED,0.5855,backend,,Test note
2025-07-26T09:50:43.449589,srv-070,fw-032,operator2,DELETE_POLICY,Allow HTTP,deny tcp 22,FAILED,0.7957,backend,,Test note
2025-08-13T20:14:57.449589,srv-091,fw-040,operator2,DELETE_POLICY,Allow SSH,allow udp 53,SUCCESS,0.0369,blockchain,0x5426917233b8b12bb77fbdc93d2a498645758579,
2025-07-03T16:43:58.449589,srv-010,fw-029,guest,CONFIG_UPDATE,,,SUCCESS,0.193,blockchain,0x2e672347682fac4ca67d4b00816b9d7926a01f49,
2025-07-25T00:01:24.449589,srv-006,fw-045,operator1,ADD_POLICY,Allow DNS,allow tcp 80,SUCCESS,0.2728,backend,,Test note
2025-09-10T01:32:13.449589,srv-032,fw-017,admin,LOGIN,,,FAILED,0.5352,backend,,Test note
2025-08-28T07:49:03.449589,srv-032,fw-019,admin,DELETE_POLICY,Deny ICMP,deny tcp 22,FAILED,0.0039,blockchain,0xe64875a830cb55de3efa81eac77258dc6b0b4d7d,Test note
2025-07-24T02:49:47.449589,srv-055,fw-039,guest,DELETE_POLICY,Allow SSH,deny tcp 22,FAILED,0.3316,backend,,Test note
2025-05-08T06:20:05.449589,srv-030,fw-014,guest,ADD_POLICY,Allow HTTP,allow udp 53,FAILED,0.7073,blockchain,0x72232f65ee986d62eaf8a46850092964d67e4913,
2025-08-29T23:51:36.449589,srv-079,fw-008,operator2,DELETE_POLICY,Block Port 22,allow tcp 80,FAILED,0.4579,blockchain,0xf5ce1a223864c4261ff6264b3c879ccca60f4c3c,Test note
2025-08-14T16:10:19.449589,srv-053,fw-014,operator1,LOGIN,,,FAILED,0.165,blockchain,0xece4670e0ab3fa5620f7c4567af8f74b72f52604,
2025-06-28T18:36:02.449589,srv-001,fw-013,guest,ADD_POLICY,Allow HTTP,allow tcp 80,SUCCESS,0.6194,backend,,Test note
2025-07-31T00:52:48.449589,srv-041,fw-013,guest,CONFIG_UPDATE,,,SUCCESS,0.0491,blockchain,0x9ba9c8c39c44531d8d5a844578c8d629dd919296,Test note
2025-05-30T19:18:11.449589,srv-026,fw-019,operator1,CONFIG_UPDATE,,,FAILED,0.6778,blockchain,0xd55f1d771cd359d075ae9c79cb52a9a2adbe1605,Test note
2025-07-10T16:18:57.449589,srv-096,fw-005,admin,LOGIN,,,SUCCESS,0.6457,blockchain,0x09a9accdf756715076b4a4af4d559f43f615059f,Test note
2025-05-01T09:42:03.449589,srv-099,fw-020,operator2,CONFIG_UPDATE,,,SUCCESS,0.9738,blockchain,0xfda6c5bc041637bbef5c7ed0a988afa632d6342a,
2025-04-17T01:09:05.449589,srv-053,fw-001,guest,ADD_POLICY,Allow SSH,allow udp 53,SUCCESS,0.5615,backend,,Test note
2025-04-25T08:08:06.449589,srv-027,fw-010,operator1,ADD_POLICY,Block Port 22,deny tcp 22,SUCCESS,0.3052,backend,,Test note
2025-04-26T15:26:28.449589,srv-057,fw-011,admin,CONFIG_UPDATE,,,FAILED,0.5811,backend,,Test note
2025-05-09T21:16:39.449589,srv-016,fw-006,admin,ADD_POLICY,Allow SSH,allow udp 53,SUCCESS,0.8034,backend,,Test note
2025-06-13T09:38:45.449589,srv-087,fw-019,operator1,ADD_POLICY,Allow HTTP,deny icmp,FAILED,0.4671,backend,,Test note
2025-08-29T02:37:50.449589,srv-088,fw-049,admin,CONFIG_UPDATE,,,SUCCESS,0.3304,backend,,Test note
2025-04-25T08:34:13.449589,srv-039,fw-043,operator2,DELETE_POLICY,Allow SSH,allow udp 53,SUCCESS,0.6693,backend,,
